Date,open,high,low,close,volume,adj_close,diff
2014-04-07,5.66,5.72,5.52,5.56,76300,5.56,-0.10000000000000053
2014-04-08,5.75,5.75,5.38,5.5,73600,5.5,-0.25
2014-04-09,5.5,5.53,5.38,5.43,61100,5.43,-0.07000000000000028
2014-04-10,5.45,5.46,5.05,5.18,105500,5.18,-0.27000000000000046
2014-04-11,5.08,5.31,5.02,5.12,52100,5.12,0.040000000000000036
2014-04-14,5.21,5.48,5.1,5.18,46400,5.18,-0.03000000000000025
2014-04-15,5.18,5.38,4.96,5.02,46800,5.02,-0.16000000000000014
2014-04-16,5.05,5.36,4.97,5.35,135900,5.35,0.2999999999999998
2014-04-17,5.31,5.77,5.3,5.71,114700,5.71,0.40000000000000036
2014-04-21,5.76,5.76,5.56,5.66,39900,5.66,-0.09999999999999964
2014-04-22,5.64,5.82,5.53,5.77,67000,5.77,0.1299999999999999
2014-04-23,5.75,5.81,5.73,5.75,53700,5.75,0.0
2014-04-24,5.79,5.88,5.74,5.82,60300,5.82,0.03000000000000025
2014-04-25,5.78,5.8,5.61,5.66,124300,5.66,-0.1200000000000001
2014-04-28,5.98,5.98,5.62,5.64,89400,5.64,-0.34000000000000075
2014-04-29,5.68,5.68,5.46,5.58,76700,5.58,-0.09999999999999964
2014-04-30,5.57,5.65,5.51,5.61,39900,5.61,0.040000000000000036
2014-05-01,5.6,5.6,5.4,5.46,86500,5.46,-0.13999999999999968
2014-05-02,5.47,5.47,5.25,5.27,32400,5.27,-0.20000000000000018
2014-05-05,5.2,5.26,5.11,5.16,20500,5.16,-0.040000000000000036
2014-05-06,5.12,5.21,5.1,5.1,45200,5.1,-0.020000000000000462
2014-05-07,5.13,5.15,4.97,5.12,80100,5.12,-0.009999999999999787
2014-05-08,5.11,5.25,5.1,5.12,49800,5.12,0.009999999999999787
2014-05-09,5.12,5.32,5.0,5.28,48100,5.28,0.16000000000000014
2014-05-12,5.33,5.85,5.33,5.69,97700,5.69,0.3600000000000003
2014-05-13,5.69,5.94,5.69,5.85,120700,5.85,0.15999999999999925
2014-05-14,5.8,5.8,5.45,5.51,87600,5.51,-0.29000000000000004
2014-05-15,5.46,5.5,5.23,5.28,87000,5.28,-0.17999999999999972
2014-05-16,5.26,5.36,5.15,5.35,89600,5.35,0.08999999999999986
2014-05-19,5.35,5.72,5.35,5.59,41200,5.59,0.2400000000000002
2014-05-20,5.61,5.66,5.47,5.48,87800,5.48,-0.1299999999999999
2014-05-21,5.46,5.51,5.25,5.28,66800,5.28,-0.17999999999999972
2014-05-22,5.32,5.53,5.3,5.44,57900,5.44,0.1200000000000001
2014-05-23,5.46,5.59,5.35,5.54,34900,5.54,0.08000000000000007
2014-05-27,5.62,5.84,5.38,5.84,51800,5.84,0.21999999999999975
2014-05-28,5.8,5.9,5.6,5.62,65200,5.62,-0.17999999999999972
2014-05-29,5.67,5.78,5.58,5.74,33000,5.74,0.07000000000000028
2014-05-30,5.77,5.79,5.52,5.72,62900,5.72,-0.04999999999999982
2014-06-02,5.71,5.79,5.56,5.7,71000,5.7,-0.009999999999999787
2014-06-03,5.67,5.67,5.47,5.6,81800,5.6,-0.07000000000000028
2014-06-04,5.55,5.68,5.44,5.63,36000,5.63,0.08000000000000007
2014-06-05,5.62,5.93,5.4,5.72,64300,5.72,0.09999999999999964
2014-06-06,5.78,5.91,5.4,5.9,42900,5.9,0.1200000000000001
2014-06-09,5.57,6.17,5.57,6.14,64600,6.14,0.5699999999999994
2014-06-10,6.1,6.23,6.07,6.17,26500,6.17,0.07000000000000028
2014-06-11,6.1,6.28,5.98,6.28,47300,6.28,0.1800000000000006
2014-06-12,6.24,6.28,6.03,6.22,48900,6.22,-0.020000000000000462
2014-06-13,6.26,6.35,5.96,5.99,63400,5.99,-0.2699999999999996
2014-06-16,5.98,6.04,5.72,6.0,74400,6.0,0.019999999999999574
2014-06-17,5.98,6.21,5.96,6.03,81800,6.03,0.04999999999999982
2014-06-18,6.0,6.67,5.98,6.33,114400,6.33,0.33000000000000007
2014-06-19,6.33,6.67,6.27,6.66,59700,6.66,0.33000000000000007
2014-06-20,6.71,6.83,6.21,6.29,158700,6.29,-0.41999999999999993
2014-06-23,6.34,6.43,6.05,6.18,110800,6.18,-0.16000000000000014
2014-06-24,6.2,6.39,5.95,6.02,96900,6.02,-0.1800000000000006
2014-06-25,5.97,6.29,5.83,6.09,76500,6.09,0.1200000000000001
2014-06-26,6.07,6.22,5.98,6.03,61300,6.03,-0.040000000000000036
2014-06-27,5.98,6.6,5.94,6.52,2050500,6.52,0.5399999999999991
2014-06-30,6.49,6.91,6.39,6.77,233900,6.77,0.27999999999999936
2014-07-01,6.81,6.83,6.48,6.72,134000,6.72,-0.08999999999999986
2014-07-02,6.7,7.0,6.64,6.73,115300,6.73,0.03000000000000025
2014-07-03,6.86,6.86,6.7,6.75,65200,6.75,-0.11000000000000032
2014-07-07,6.68,6.68,6.51,6.55,43000,6.55,-0.1299999999999999
2014-07-08,6.53,6.64,6.45,6.48,79400,6.48,-0.04999999999999982
2014-07-09,6.52,6.67,6.38,6.53,36400,6.53,0.010000000000000675
2014-07-10,6.35,6.91,6.35,6.65,41400,6.65,0.3000000000000007
2014-07-11,6.85,6.9,6.48,6.5,26300,6.5,-0.34999999999999964
2014-07-14,6.61,7.1,6.61,6.82,192000,6.82,0.20999999999999996
2014-07-15,6.83,6.97,6.71,6.87,67400,6.87,0.040000000000000036
2014-07-16,6.89,6.93,6.8,6.86,65600,6.86,-0.02999999999999936
2014-07-17,6.81,6.81,6.56,6.61,61100,6.61,-0.1999999999999993
2014-07-18,6.62,7.36,6.57,7.17,83400,7.17,0.5499999999999998
2014-07-21,7.16,7.37,6.96,7.0,112600,7.0,-0.16000000000000014
2014-07-22,7.04,7.04,6.88,6.98,63600,6.98,-0.05999999999999961
2014-07-23,6.99,6.99,6.86,6.92,26100,6.92,-0.07000000000000028
2014-07-24,6.91,6.99,6.86,6.97,52600,6.97,0.05999999999999961
2014-07-25,6.87,7.1,6.85,6.99,76000,6.99,0.1200000000000001
2014-07-28,6.96,6.98,6.77,6.82,69500,6.82,-0.13999999999999968
2014-07-29,6.8,6.86,6.76,6.78,34300,6.78,-0.019999999999999574
2014-07-30,6.86,6.89,6.74,6.79,61400,6.79,-0.07000000000000028
2014-07-31,6.69,6.79,6.63,6.75,84200,6.75,0.05999999999999961
2014-08-01,6.7,6.76,6.6,6.63,48300,6.63,-0.07000000000000028
2014-08-04,6.63,6.71,6.58,6.62,58300,6.62,-0.009999999999999787
2014-08-05,6.6,6.68,6.52,6.52,51600,6.52,-0.08000000000000007
2014-08-06,6.49,6.58,6.44,6.44,36600,6.44,-0.04999999999999982
2014-08-07,6.47,6.55,6.43,6.55,13700,6.55,0.08000000000000007
2014-08-08,6.54,6.55,6.44,6.49,49100,6.49,-0.04999999999999982
2014-08-11,6.55,6.63,6.5,6.56,34700,6.56,0.009999999999999787
2014-08-12,6.49,6.59,6.44,6.47,31400,6.47,-0.020000000000000462
2014-08-13,6.47,6.72,6.46,6.55,36500,6.55,0.08000000000000007
2014-08-14,6.61,6.61,6.45,6.5,23200,6.5,-0.11000000000000032
2014-08-15,6.53,6.62,6.47,6.59,13200,6.59,0.05999999999999961
2014-08-18,6.8,6.8,6.65,6.72,15000,6.72,-0.08000000000000007
2014-08-19,6.8,6.85,6.58,6.67,16000,6.67,-0.1299999999999999
2014-08-20,6.63,6.65,6.54,6.58,17100,6.58,-0.04999999999999982
2014-08-21,6.59,6.6,6.45,6.59,26600,6.59,0.0
2014-08-22,6.56,6.69,6.56,6.66,15600,6.66,0.10000000000000053
2014-08-25,6.7,6.7,6.54,6.58,32100,6.58,-0.1200000000000001
2014-08-26,6.61,6.62,6.45,6.52,27300,6.52,-0.09000000000000075
2014-08-27,6.54,6.72,6.46,6.54,26200,6.54,0.0
2014-08-28,6.53,6.59,6.44,6.45,8700,6.45,-0.08000000000000007
2014-08-29,6.43,6.54,6.43,6.52,6600,6.52,0.08999999999999986
2014-09-02,6.52,6.78,6.52,6.64,19500,6.64,0.1200000000000001
2014-09-03,6.71,6.73,6.53,6.55,25300,6.55,-0.16000000000000014
2014-09-04,6.58,6.58,6.5,6.55,9600,6.55,-0.03000000000000025
2014-09-05,6.53,6.58,6.48,6.54,22600,6.54,0.009999999999999787
2014-09-08,6.55,6.86,6.51,6.71,103200,6.71,0.16000000000000014
2014-09-09,6.75,6.98,6.65,6.74,95200,6.74,-0.009999999999999787
2014-09-10,6.8,7.0,6.74,6.79,132700,6.79,-0.009999999999999787
2014-09-11,6.8,6.86,6.52,6.6,99300,6.6,-0.20000000000000018
2014-09-12,6.57,6.62,6.53,6.54,64500,6.54,-0.03000000000000025
2014-09-15,6.52,6.55,6.48,6.52,16400,6.52,0.0
2014-09-16,6.49,6.52,6.45,6.48,68700,6.48,-0.009999999999999787
2014-09-17,6.52,6.57,6.41,6.47,71300,6.47,-0.04999999999999982
2014-09-18,6.5,6.5,6.41,6.41,69100,6.41,-0.08999999999999986
2014-09-19,6.44,6.44,6.04,6.04,142300,6.04,-0.40000000000000036
2014-09-22,6.01,6.17,6.01,6.15,26900,6.15,0.14000000000000057
2014-09-23,6.15,6.18,6.14,6.16,25100,6.16,0.009999999999999787
2014-09-24,6.15,6.24,6.11,6.14,26900,6.14,-0.010000000000000675
2014-09-25,6.14,6.19,5.95,6.16,69800,6.16,0.020000000000000462
2014-09-26,6.03,6.3,6.03,6.19,17900,6.19,0.16000000000000014
2014-09-29,6.12,6.36,6.12,6.31,10500,6.31,0.1899999999999995
2014-09-30,6.34,6.55,6.25,6.47,51500,6.47,0.1299999999999999
2014-10-01,6.46,6.46,6.21,6.27,27400,6.27,-0.1900000000000004
2014-10-02,6.31,6.38,6.11,6.29,39400,6.29,-0.019999999999999574
2014-10-03,6.3,6.41,6.26,6.37,2900,6.37,0.07000000000000028
2014-10-06,6.42,6.42,6.23,6.28,10900,6.28,-0.13999999999999968
2014-10-07,6.3,6.34,6.2,6.27,11100,6.27,-0.03000000000000025
2014-10-08,6.23,6.3,6.14,6.28,19200,6.28,0.04999999999999982
2014-10-09,6.27,6.32,6.05,6.11,25200,6.11,-0.15999999999999925
2014-10-10,6.14,6.2,5.83,5.92,35100,5.92,-0.21999999999999975
2014-10-13,5.86,5.98,5.75,5.89,50200,5.89,0.02999999999999936
2014-10-14,5.88,6.02,5.8,5.91,51200,5.91,0.03000000000000025
2014-10-15,5.85,6.08,5.8,5.98,31000,5.98,0.13000000000000078
2014-10-16,5.91,6.05,5.91,5.99,66300,5.99,0.08000000000000007
2014-10-17,6.08,6.08,5.93,6.03,30200,6.03,-0.04999999999999982
2014-10-20,5.95,6.22,5.95,6.13,39300,6.13,0.17999999999999972
2014-10-21,6.09,6.2,6.04,6.1,37600,6.1,0.009999999999999787
2014-10-22,6.07,6.17,6.01,6.01,12400,6.01,-0.0600000000000005
2014-10-23,6.06,6.27,6.06,6.08,20100,6.08,0.020000000000000462
2014-10-24,6.13,6.2,6.05,6.1,13300,6.1,-0.03000000000000025
2014-10-27,6.07,6.16,5.95,5.99,20600,5.99,-0.08000000000000007
2014-10-28,6.02,6.11,6.02,6.1,31700,6.1,0.08000000000000007
2014-10-29,6.07,6.09,5.96,6.05,13300,6.05,-0.020000000000000462
2014-10-30,6.03,6.15,6.03,6.09,11300,6.09,0.05999999999999961
2014-10-31,6.1,6.1,5.8,6.0,31000,6.0,-0.09999999999999964
2014-11-03,5.95,6.26,5.95,6.17,47000,6.17,0.21999999999999975
2014-11-04,6.1,6.28,6.1,6.26,37800,6.26,0.16000000000000014
2014-11-05,6.25,6.27,6.1,6.16,22100,6.16,-0.08999999999999986
2014-11-06,6.18,6.18,5.7,5.99,148700,5.99,-0.1899999999999995
2014-11-07,5.95,6.01,5.86,5.94,179000,5.94,-0.009999999999999787
2014-11-10,5.94,5.94,5.58,5.65,81600,5.65,-0.29000000000000004
2014-11-11,5.66,5.66,5.28,5.32,105300,5.32,-0.33999999999999986
2014-11-12,5.45,5.45,5.24,5.25,51400,5.25,-0.20000000000000018
2014-11-13,5.23,5.28,5.09,5.12,25500,5.12,-0.11000000000000032
2014-11-14,5.06,5.14,4.95,5.0,44000,5.0,-0.05999999999999961
2014-11-17,5.04,5.37,4.94,5.35,97600,5.35,0.3099999999999996
2014-11-18,5.31,5.67,5.31,5.39,36200,5.39,0.08000000000000007
2014-11-19,5.35,5.37,5.21,5.34,30600,5.34,-0.009999999999999787
2014-11-20,5.36,5.36,5.25,5.36,3600,5.36,0.0
2014-11-21,5.43,5.53,5.36,5.45,24200,5.45,0.020000000000000462
2014-11-24,5.5,5.57,5.45,5.52,20700,5.52,0.019999999999999574
2014-11-25,5.49,5.49,5.2,5.35,22400,5.35,-0.14000000000000057
2014-11-26,5.28,5.44,5.2,5.33,19800,5.33,0.04999999999999982
2014-11-28,5.37,5.46,5.28,5.28,1600,5.28,-0.08999999999999986
2014-12-01,5.26,5.26,4.27,4.42,193300,4.42,-0.8399999999999999
2014-12-02,4.42,4.54,4.36,4.45,38500,4.45,0.03000000000000025
2014-12-03,4.4,4.4,4.32,4.4,457500,4.4,0.0
2014-12-04,4.35,4.63,4.34,4.51,38400,4.51,0.16000000000000014
2014-12-05,4.44,4.62,4.39,4.44,86900,4.44,0.0
2014-12-08,4.4,4.41,4.28,4.28,23900,4.28,-0.1200000000000001
2014-12-09,4.24,4.49,4.23,4.46,25700,4.46,0.21999999999999975
2014-12-10,4.3,4.34,4.08,4.08,124900,4.08,-0.21999999999999975
2014-12-11,4.11,4.19,4.04,4.09,77600,4.09,-0.020000000000000462
2014-12-12,4.09,4.2,4.02,4.16,28200,4.16,0.07000000000000028
2014-12-15,4.2,4.25,4.02,4.21,37400,4.21,0.009999999999999787
2014-12-16,4.22,4.34,4.17,4.28,23200,4.28,0.0600000000000005
2014-12-17,4.29,4.41,4.07,4.41,18200,4.41,0.1200000000000001
2014-12-18,4.45,4.75,4.45,4.75,52600,4.75,0.2999999999999998
2014-12-19,4.7,4.7,4.45,4.6,124200,4.6,-0.10000000000000053
2014-12-22,4.58,4.83,4.57,4.69,48000,4.69,0.11000000000000032
2014-12-23,4.93,4.93,4.39,4.52,61100,4.52,-0.41000000000000014
2014-12-24,4.5,4.64,4.5,4.63,6100,4.63,0.1299999999999999
2014-12-26,4.57,4.61,4.47,4.55,13500,4.55,-0.020000000000000462
2014-12-29,4.51,4.53,4.38,4.43,35600,4.43,-0.08000000000000007
2014-12-30,4.44,4.57,4.33,4.35,24700,4.35,-0.09000000000000075
2014-12-31,4.3,4.3,3.92,4.0,196300,4.0,-0.2999999999999998
